,130,130-1,14,179,191,198,203-1,209,210,218,228,235,243,285,289,289-1,290,290-1,290-4,290-5,292,293,295,295-3,309,328,333-1,339,341,342,343,346,349,350,352,354,356,357,359,361,361-1,361-2,361-4,363,364,365,366,367,368,369,369-1,370,371,375,389,391,406,411,424,426,430,431,435
369,257,2,0,4,0,0,29,0,0,0,0,0,0,4,3,7,0,7,0,0,0,20,8,2,3,7,0,9,0,86,2,0,0,0,0,0,0,7,0,49,73,18,48,0,62,4,40,91,434,1236,21,41,0,0,9,79,0,7,0,0,0,0,0
369-1,42,4,0,0,0,0,3,0,0,0,0,0,3,6,0,8,0,7,5,3,0,5,0,0,0,0,0,0,0,22,0,0,0,0,0,0,3,16,0,36,45,14,34,0,0,0,0,38,53,21,102,9,0,0,0,0,0,2,3,0,0,0,0
370,27,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,7,0,0,0,3,2,0,0,0,0,15,3,19,0,0,0,0,0,0,2,0,0,12,9,10,18,0,3,0,4,31,59,41,9,245,0,0,0,5,0,3,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
389,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,3,0,8,3,8,0,7,9,0,0,0,0,14,6,0,0,0,0,0,0,0
391,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,3,0,6,0,16,0,7,10,59,79,0,5,0,0,6,110,0,0,0,0,0,0,0
406,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
411,15,0,3,0,0,0,0,0,0,4,0,0,0,7,8,0,0,0,2,0,0,15,15,4,2,0,3,5,4,30,0,0,0,0,0,0,2,3,2,7,10,0,2,3,11,0,0,0,10,7,2,3,0,0,0,0,0,84,0,0,0,0,0
424,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,3,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0
426,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,2,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0
